"Gene_symbol"	"   Genes"	"Freq"
"AMH"	"anti-Mullerian hormone"	"721"
"CPP"	"ceruloplasmin pseudogene"	"445"
"ARID1A"	"AT-rich interaction domain 1A"	"273"
"PIP"	"prolactin induced protein"	"210"
"PTEN"	"phosphatase and tensin homolog"	"209"
"HOXA10"	"homeobox A10"	"194"
"EGF"	"epidermal growth factor"	"158"
"MIF"	"macrophage migration inhibitory factor"	"156"
"GSTM1"	"glutathione S-transferase mu 1"	"154"
"NGF"	"nerve growth factor"	"154"
"KRAS"	"KRAS proto-oncogene, GTPase"	"133"
"PRL"	"prolactin"	"133"
"TNF"	"tumor necrosis factor"	"129"
"HGF"	"hepatocyte growth factor"	"125"
"BDNF"	"brain derived neurotrophic factor"	"107"
"TP53"	"tumor protein p53"	"107"
"CD44"	"CD44 molecule (Indian blood group)"	"99"
"LIF"	"LIF interleukin 6 family cytokine"	"94"
"NHS"	"NHS actin remodeling regulator"	"93"
"PIK3CA"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	"90"
"ESR1"	"estrogen receptor 1"	"89"
"GSTT1"	"glutathione S-transferase theta 1"	"87"
"CRP"	"C-reactive protein"	"85"
"CYP1A1"	"cytochrome P450 family 1 subfamily A member 1"	"83"
"C3"	"complement C3"	"82"
"AR"	"androgen receptor"	"80"
"TRPV1"	"transient receptor potential cation channel subfamily V member 1"	"77"
"PGR"	"progesterone receptor"	"76"
"CP"	"ceruloplasmin"	"73"
"ESR2"	"estrogen receptor 2"	"70"
"MMP9"	"matrix metallopeptidase 9"	"69"
"CS"	"citrate synthase"	"68"
"CYP19A1"	"cytochrome P450 family 19 subfamily A member 1"	"66"
"MALAT1"	"metastasis associated lung adenocarcinoma transcript 1"	"66"
"STS"	"steroid sulfatase"	"66"
"CXCL12"	"C-X-C motif chemokine ligand 12"	"62"
"PAX8"	"paired box 8"	"60"
"STAT3"	"signal transducer and activator of transcription 3"	"60"
"HR"	"HR lysine demethylase and nuclear receptor corepressor"	"57"
"MVD"	"mevalonate diphosphate decarboxylase"	"57"
"PCNA"	"proliferating cell nuclear antigen"	"57"
"TLR4"	"toll like receptor 4"	"57"
"LBR"	"lamin B receptor"	"56"
