"words"	"Freq"
"endometriosis"	66668
"patients"	29232
"women"	27229
"study"	16110
"treatment"	15121
"ovarian"	13838
"endometrial"	12306
"results"	12246
"pain"	12019
"group"	11417
"cells"	11007
"expression"	10137
"pelvic"	9940
"surgery"	9754
"may"	9448
"disease"	9188
"cases"	9051
"had"	8644
"university"	7961
"significantly"	7746
"associated"	7734
"levels"	7632
"diagnosis"	7622
"infertility"	7515
"endometrium"	7405
"clinical"	7374
"endometriotic"	7298
"lesions"	7232
"compared"	7158
"information"	6868
"been"	6502
"during"	6351
"pregnancy"	6262
"has"	6232
"surgical"	6138
"uterine"	6076
"methods"	6064
"cell"	6060
"peritoneal"	6035
"author"	6002
"significant"	5858
"hospital"	5814
"using"	5726
"medical"	5703
"without"	5671
"tissue"	5534
"studies"	5511
"both"	5431
"cancer"	5421
"performed"	5419
"case"	5273
"symptoms"	5267
"more"	5224
"risk"	5223
"objective"	5220
"laparoscopic"	5218
"found"	5209
"higher"	5129
"patient"	5049
"control"	5024
"groups"	4996
"increased"	4982
"laparoscopy"	4923
"rate"	4739
"used"	4715
"age"	4701
"serum"	4671
"reproductive"	4639
"analysis"	4603
"therapy"	4536
"data"	4523
"conclusion"	4519
"adenomyosis"	4423
"ectopic"	4399
"years"	4276
"(p"	4253
"normal"	4220
"showed"	4191
"s"	4093
"findings"	4063
"months"	4056
"however"	4035
"role"	3996
"present"	3904
"medicine"	3867
"factors"	3734
"those"	3719
"effects"	3713
"de"	3705
"obstetrics"	3613
"development"	3599
"such"	3565
"observed"	3561
"stromal"	3548
"presence"	3530
"stage"	3513
"gynecology"	3509
"conclusions"	3508
"design"	3496
"human"	3469
"<"	3406
"p"	3405
"chronic"	3367
"factor"	3360
"eutopic"	3353
"should"	3343
"fluid"	3332
"research"	3326
"lower"	3324
"controls"	3299
"health"	3299
"reported"	3287
"effect"	3286
"treated"	3264
"underwent"	3263
"review"	3249
"total"	3241
"outcome"	3214
"endometrioma"	3213
"different"	3174
"main"	3148
"diagnostic"	3130
"menstrual"	3124
"growth"	3094
"included"	3092
"including"	3071
"abdominal"	3039
"protein"	3014
"number"	2988
"three"	2960
"among"	2942
"tumor"	2934
"common"	2922
"ci"	2920
"respectively"	2900
"hysterectomy"	2890
"evidence"	2869
"benign"	2858
"(1)department"	2846
"management"	2823
"95%"	2821
"(n"	2813
"gene"	2804
"high"	2792
"cycle"	2780
"10"	2730
"potential"	2693
"deep"	2658
"recurrence"	2648
"hormone"	2644
"resection"	2625
"carcinoma"	2624
"mean"	2622
"association"	2617
"female"	2608
"primary"	2598
"report"	2595
"identified"	2582
"center"	2570
"before"	2569
"level"	2567
"evaluate"	2562
"tumors"	2553
"setting"	2535
"receptor"	2528
"activity"	2509
"imaging"	2507
"severe"	2506
"evaluated"	2501
"05)"	2490
"diagnosed"	2485
"samples"	2443
"fertility"	2431
"bowel"	2414
"decreased"	2412
"epithelial"	2397
"background"	2393
"tissues"	2386
"mass"	2378
"blood"	2371
"tubal"	2370
"further"	2367
"cysts"	2361
"uterus"	2353
"history"	2350
"although"	2344
"rates"	2339
"department"	2323
"model"	2321
"examination"	2293
"changes"	2291
"revealed"	2290
"did"	2257
"important"	2257
"positive"	2252
"phase"	2247
"vs"	2247
"due"	2232
"complications"	2229
"estrogen"	2227
"difference"	2213
"lesion"	2195
"pathogenesis"	2191
"endometriomas"	2182
"+/-"	2172
"dysmenorrhea"	2162
"quality"	2149
"woman"	2147
"12"	2142
"inflammatory"	2141
"infertile"	2136
"obtained"	2115
"concentrations"	2112
"postoperative"	2111
"rare"	2094
"follow-up"	2093
"confirmed"	2087
"suggest"	2080
"while"	2068
"through"	2049
"whether"	2041
"aim"	2039
"progesterone"	2032
"diseases"	2031
"proliferation"	2020
"early"	2017
"related"	2007
"usa"	1994
"malignant"	1991
"literature"	1990
"within"	1981
"less"	1978
"vitro"	1966
"outcomes"	1962
"wall"	1950
"genes"	1934
"pathology"	1934
"similar"	1931
"function"	1929
"school"	1927
"possible"	1923
"reduced"	1918
"following"	1916
"bladder"	1913
"involved"	1912
"considered"	1904
"adhesions"	1903
"determine"	1903
"ovary"	1902
"001)"	1899
"effective"	1898
"vaginal"	1896
"hormonal"	1887
"presented"	1887
"mrna"	1878
"danazol"	1874
"excision"	1874
"cyst"	1862
"system"	1858
"size"	1852
"i"	1850
"therapeutic"	1842
"differences"	1832
"detected"	1830
"low"	1813
"increase"	1808
"bleeding"	1806
"each"	1798
"period"	1796
"undergoing"	1780
"type"	1767
"investigate"	1765
"measured"	1745
"based"	1739
"ivf"	1734
"versus"	1733
"response"	1712
"ultrasound"	1709
"demonstrated"	1706
"method"	1706
"specific"	1700
"prospective"	1697
"previous"	1686
"analyzed"	1682
"conditions"	1677
"four"	1674
"cycles"	1665
"life"	1662
"mice"	1656
"syndrome"	1650
"cause"	1639
"evaluation"	1636
"approach"	1632
"incidence"	1616
"condition"	1611
"days"	1597
"implants"	1597
"implantation"	1587
"several"	1585
"assessed"	1577
"gynecologic"	1577
"retrospective"	1565
"per"	1561
"clear"	1553
"com"	1549
"procedure"	1521
"endometrioid"	1519
"test"	1517
"value"	1516
"often"	1515
"population"	1506
"known"	1503
"addition"	1499
"cavity"	1498
"healthy"	1490
"various"	1486
"gnrh"	1478
"disorders"	1465
"loss"	1459
"laparotomy"	1455
"sensitivity"	1454
"weeks"	1450
"induced"	1449
"gynecological"	1448
"preoperative"	1448
"and/or"	1445
"assess"	1443
"right"	1440
"many"	1425
"according"	1416
"technique"	1407
"either"	1403
"score"	1398
"characteristics"	1395
"institute"	1391
"features"	1390
"examined"	1384
"investigated"	1384
"small"	1382
"procedures"	1381
"20"	1377
"infiltrating"	1373
"ratio"	1372
"expressed"	1371
"might"	1369
"molecular"	1367
"combined"	1359
"urinary"	1359
"involvement"	1354
"mechanisms"	1352
"studied"	1347
"collected"	1342
"statistically"	1337
"negative"	1333
"whereas"	1329
"macrophages"	1322
"correlation"	1321
"mri"	1316
"current"	1315
"large"	1314
"die"	1306
"15"	1304
"conducted"	1303
"purpose"	1303
