"Gene_symbol"	"   Genes"	"Freq"
"CPP"	"ceruloplasmin pseudogene"	"17"
"KRAS"	"KRAS proto-oncogene, GTPase"	"13"
"WNT4"	"Wnt family member 4"	"13"
"TFPI2"	"tissue factor pathway inhibitor 2"	"12"
"AFAP1-AS1"	"AFAP1 antisense RNA 1"	"10"
"ARID1A"	"AT-rich interaction domain 1A"	"9"
"DYSF"	"dysferlin"	"8"
"HOXA10"	"homeobox A10"	"7"
"TLR3"	"toll like receptor 3"	"7"
"CXCR4"	"C-X-C motif chemokine receptor 4"	"6"
"NHS"	"NHS actin remodeling regulator"	"6"
"BAG2"	"BAG cochaperone 2"	"5"
"MDM2"	"MDM2 proto-oncogene"	"5"
"PAK4"	"p21 (RAC1) activated kinase 4"	"5"
"PGR"	"progesterone receptor"	"5"
"VDR"	"vitamin D receptor"	"5"
"ELL"	"elongation factor for RNA polymerase II"	"4"
"LIF"	"LIF interleukin 6 family cytokine"	"4"
"SMAD4"	"SMAD family member 4"	"4"
"STS"	"steroid sulfatase"	"3"
"AMH"	"anti-Mullerian hormone"	"2"
"AMHR2"	"anti-Mullerian hormone receptor type 2"	"2"
"BMPR2"	"bone morphogenetic protein receptor type 2"	"2"
"C3"	"complement C3"	"2"
"CXCL12"	"C-X-C motif chemokine ligand 12"	"2"
"INHA"	"inhibin subunit alpha"	"2"
"INHBB"	"inhibin subunit beta B"	"2"
"IRF3"	"interferon regulatory factor 3"	"2"
"KY"	"kyphoscoliosis peptidase"	"2"
"MMP3"	"matrix metallopeptidase 3"	"2"
"SMAD3"	"SMAD family member 3"	"2"
"SMARCA4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"	"2"
"TRPV2"	"transient receptor potential cation channel subfamily V member 2"	"2"
"AKR1C2"	"aldo-keto reductase family 1 member C2"	"1"
"ARID1B"	"AT-rich interaction domain 1B"	"1"
"ATG2B"	"autophagy related 2B"	"1"
"BDNF"	"brain derived neurotrophic factor"	"1"
"CCL5"	"C-C motif chemokine ligand 5"	"1"
"CD68"	"CD68 molecule"	"1"
"CXCL10"	"C-X-C motif chemokine ligand 10"	"1"
"FGL2"	"fibrinogen like 2"	"1"
"HSD11B1"	"hydroxysteroid 11-beta dehydrogenase 1"	"1"
"ITGAV"	"integrin subunit alpha V"	"1"
"LIFR"	"LIF receptor subunit alpha"	"1"
"MMP2"	"matrix metallopeptidase 2"	"1"
"MMP9"	"matrix metallopeptidase 9"	"1"
"PTGS2"	"prostaglandin-endoperoxide synthase 2"	"1"
"RAC1"	"Rac family small GTPase 1"	"1"
"ROCK2"	"Rho associated coiled-coil containing protein kinase 2"	"1"
"SDC1"	"syndecan 1"	"1"
"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	"1"
"SMARCB1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	"1"
"STAT3"	"signal transducer and activator of transcription 3"	"1"
"TICAM1"	"toll like receptor adaptor molecule 1"	"1"
"TLR4"	"toll like receptor 4"	"1"
"TRPM7"	"transient receptor potential cation channel subfamily M member 7"	"1"
